searchstring	count	is_fixed	fixed	productcount	predicted_productcount
поискбоско спорт	1	True	поискбоско sport	0	0
Weeke	1	True	weekend	0	55
носки  етро	1	True	носки это	0	56
Зимние высокии ботинки Bosco	1	True	зимние высокие ботинки bosco	0	0
Ив Саломон	1	True	yves salomon	2	2
Gran susso	1	True	gran sasso	0	0
mino пуховик	1	True	mini пуховик	0	0
поиск maxco	1	True	поиск max&co	0	0
Inukii	1	True	inuikii	18	17
пmax Mara платьеоиск	1	True	max mara платьеоиск	0	0
шубв	1	True	шубы	18	16
поис	1	True	поиск	0	0
Роберта кавали	1	True	roberto cavalli	0	0
пшарф max maraоиск	1	True	шарф max maraоиск	0	0
Этро пальто женское	1	True	etro пальто женское	0	0
bilionaire	1	True	billionaire	0	0
Stefanel cashemir	1	True	stefanel cashemire	0	0
trussardi jins	1	True	trussardi jeans	0	0
Обувь макс мара	1	True	обувь max mara	0	0
поискмарина ринальди	1	True	поискмарина rinaldi	0	0
Max Mara weekend пиджак	1	True	maxmara weekend пиджак	0	0
Пальто теди	1	True	пальто teddy	0	0
поискженские кроссовки emporia Armani	1	True	поискженские кроссовки emporio armani	0	0
поискплатье Марина Ренальди	1	True	поискплатье marina ренальди	0	0
Long champ оиск	1	True	long champ поиск	0	0
Херно	1	True	herno	0	49
Тедди	1	True	teddy	6	4
поискэскада спорт	1	True	поискэскада sport	0	0
Пуховики мужские Salvadore feragamo	1	True	пуховики мужские salvatore ferragamo	0	0
Salamon	1	True	salomon	9	9
сочи 2014	1	True	sochi 2014	0	0
Jenny pekhem	1	True	jenny peckham	0	0
перчатки Сочи 2014	1	True	перчатки sochi 2014	0	0
la prairi	1	True	la prairie	0	0
поискп	1	True	поиск	0	0
Luis vitton	1	True	luis vuitton	0	0
пшапка max maraоиск	1	True	шапка max maraоиск	0	0
Zoe karsen поиск	1	True	zoe karssen поиск	0	0
поискмайки боско	1	True	поискмайки bosco	0	0
шуба max мара уйкенд	1	True	шуба max mara уйкенд	0	0
Дети Боско спорт	1	True	дети bosco sport	0	0
духи Нина ричи модиаузель	1	True	духи nina richi модиаузель	0	0
Футболка  для мальчика боско	1	True	футболка для мальчика bosco	0	0
laf moskino джинсы	1	True	laf moschino джинсы	7	7
etro платок милано	1	True	etro платок milano	0	0
Парка Макс мара	1	True	парка max mara	0	0
Пальто легкое Пальто альто летнее поиск	1	True	пальто легкое пальто alto летнее поиск	0	0
Косметика la collline	1	True	косметика la colline	0	0
аплата	1	True	оплата	0	0
пауховик max maraоиск	1	True	пуховик max maraоиск	0	0
поисксвитшот stone iland	1	True	поисксвитшот stone island	0	0
пкардиган из шерстиоиск	1	True	кардиган из шерстиоиск	0	0
Loyi vitton	1	True	louis vuitton	0	0
pease	1	True	peace	0	0
Двубортное пальто из герсти ласы	1	True	двубортное пальто из шерсти ламы	0	0
поисLison de Lancel Tote Smallк	1	True	поисlison de lancel tote small	0	0
stuart weizman	1	True	stuart weitzman	0	0
Khris joy	1	True	khrisjoy	0	0
платье макс мара с белками	1	True	платье max mara с белками	0	0
поисксумки кроссбо	1	True	поисксумки кроссбоди	0	0
Сумки Микаель корс	1	True	сумки микаель kors	0	0
Bobby brown cement	1	True	bobbi brown cement	0	0
поиск  спортивная тбувь	1	True	поиск спортивная обувь	0	0
карта bosco	1	True	карт а bosco	0	0
поискплатье спортмакс	1	True	поискплатье sportmax	0	0
голубые рюки	1	True	голубые брюки	0	0
пмакс мараоиск	1	True	макс мараоиск	0	0
Self-portreit	1	True	self-portrait	13	13
Gucc пальтопуховикi	1	True	gucci пальтопуховикi	0	0
Куртка пуховик мужскои	1	True	куртка пуховик мужской	0	0
Шуба иш шерсти	1	True	шуба из шерсти	6	6
Боско Ставрополь	1	True	bosco ставрополь	0	0
Bobbie brown	1	True	bobbi brown	0	0
полотенце боско спорт	1	True	полотенце bosco sport	0	0
Етро женская одежда	1	True	метро женская одежда	0	0
поискMax mata weekend	1	True	поискmax mara weekend	0	0
Ремень для джинс	1	True	ремень для jeans	0	0
Etro оиск	1	True	etro поиск	0	0
пкепка россия	1	True	кепка россия	0	0
пla perlaоиск	1	True	la perlaоиск	0	0
Пальто sport max	1	True	пальто sportmax	13	13
Етро одежда	1	True	это одежда	0	0
пlong champ	1	True	long champ	0	0
Спортивный костюм боско	1	True	спортивный костюм bosco	15	13
пaeronautica оиск	1	True	пaeronautica поиск	0	0
Жилет мужской пуховой боско	1	True	жилет мужской пуховой bosco	0	0
Pol smit	1	True	pol smith	0	865
поискs max	1	True	поиск max	0	0
Свин	1	True	свинья	0	0
le[b c dfybkm.l	1	True	le [b c ванильюд	0	0
Пуховик детскии	1	True	пуховик детский	0	0
histo	1	True	history	0	0
Живанжи	1	True	живанши	0	0
помада дольче габанна	1	True	помада dolce габанна	0	0
yve saint laurent парфюмерная	1	True	yves saint laurent парфюмерная	0	0
babor косметика набор	1	True	barbour косметика набор	0	0
разгуляев	1	True	razgulyaev	0	0
подарочаня карта	1	True	подарочаня карт а	0	0
ralf lauren	1	True	ralph lauren	21	21
nhecs	1	True	трусы	0	0
поискjimmy	1	False	поискjimmy	0	0
сумки поясные	10	False	сумки поясные	10	10
Зимние штаны	1	False	Зимние штаны	0	0
Артикул: KAW335	1	False	Артикул: KAW335	0	0
Женские трикотажные брюкипоиск	1	False	Женские трикотажные брюкипоиск	0	0
Giuseppe	1	False	Giuseppe	0	0
поискrexaline	1	False	поискrexaline	0	0
Пончопоиск	1	False	Пончопоиск	0	0
Джемпер марки ЕТРО	1	False	Джемпер марки ЕТРО	0	0
jil sander сумки	3	False	jil sander сумки	48	48
Elliatt	1	False	Elliatt	11	11
 Mancera WIND WOOD	1	False	mancera wind wood	0	0
платье+кружевное	1	False	платье+кружевное	39	39
ожерелье	2	False	ожерелье	57	57
толстовки+bosco	1	False	толстовки+bosco	48	48
Флисовый костюм	1	False	Флисовый костюм	0	0
Розовый джемпер	2	False	Розовый джемпер	60	60
наушники	2	False	наушники	7	7
джинсы Trussardi	1	False	джинсы Trussardi	0	0
christina+fitzgerald	10	False	christina+fitzgerald	40	40
сетка	1	False	сетка	47	47
shelburne	1	False	shelburne	0	0
мех	10	False	мех	31	31
speick	1	False	speick	30	30
поискi’ ll gufo	2	False	поискi’ ll gufo	0	0
панама	1	False	панама	28	28
Manila Grace	1	False	Manila Grace	0	0
бельеla perla	1	False	бельеla perla	0	0
Короткий пуховик	1	False	Короткий пуховик	0	0
пальто bosco	1	False	пальто bosco	7	7
поискбутсы	1	False	поискбутсы	0	0
Sportmax платье	1	False	Sportmax платье	39	39
sublime	1	False	sublime	13	13
шапка max mara	4	False	шапка max mara	36	36
Парка+пуховая+женская	1	False	Парка+пуховая+женская	0	0
кушон	3	False	кушон	54	54
Jil+sandlerпоиск	1	False	Jil+sandlerпоиск	0	0
кардиган крупной вязки	5	False	кардиган крупной вязки	11	11
Россия	4	False	Россия	2	2
платье+из+шерсти	5	False	платье+из+шерсти	58	58
шубы maxmara	1	False	шубы maxmara	1	1
Юбка max&co	1	False	Юбка max&co	60	60
бабочки	1	False	бабочки	60	60
la perla j'aime	1	False	la perla j'aime	0	0
Куртка Emporio armani	1	False	Куртка Emporio armani	2	2
Широкие брюки	1	False	Широкие брюки	27	27
поискпуховик+белый	1	False	поискпуховик+белый	0	0
брелок	5	False	брелок	26	26
для бровей	1	False	для бровей	60	60
Колье Max Mara	3	False	Колье Max Mara	4	4
Heron женские	1	False	Heron женские	0	0
Blanchett Goose	1	False	Blanchett Goose	0	0
Детская+обувь	1	False	Детская+обувь	0	0
Sorry I’m	1	False	sorry i’ m	3	3
жилет на молнии 448264	1	False	жилет на молнии 448264	0	0
ermanno scervino сумки	1	False	ermanno scervino сумки	57	57
поискdr. Martens	1	False	поискdr. Martens	0	0
шубы max mara	1	False	шубы max mara	4	4
Sportmax пальто	4	False	Sportmax пальто	13	13
Фен	4	False	Фен	31	31
Loropiana	1	False	Loropiana	0	0
Кружев	1	False	Кружев	0	0
стайлер	1	False	стайлер	7	7
поискель	2	False	поискель	0	0
le silla	1	False	le silla	5	5
пижамы	1	False	пижамы	60	60
Mrz	1	False	Mrz	31	31
кроссовки bally	2	False	кроссовки bally	7	7
bobbi	2	False	bobbi	60	60
Куртка пуховая	1	False	Куртка пуховая	60	60
vibram	1	False	vibram	0	0
шапка с помпоном	4	False	шапка с помпоном	60	60
Поло	13	False	Поло	50	50
пплатье+сиди+из+шерсти	1	False	пплатье+сиди+из+шерсти	0	0
max+mara+шарф	1	False	max+mara+шарф	9	9
Bosco bambino	1	False	Bosco bambino	0	0
поиск21	2	False	поиск21	0	0
Nobis	3	False	Nobis	0	0
Сумка+weekend	3	False	Сумка+weekend	15	15
поискджемпер махмара серый с мохером	1	False	поискджемпер махмара серый с мохером	0	0
Чехол для ноутбука	2	False	Чехол для ноутбука	3	3
красная+сумка	2	False	красная+сумка	58	58
Пуф	4	False	Пуф	31	31
кардиналы женские	1	False	кардиналы женские	0	0
jacob cohen	8	False	jacob cohen	48	48
туфли для девочки	1	False	туфли для девочки	0	0
шарф кашемир	1	False	шарф кашемир	60	60
philosophy	2	False	philosophy	52	52
поискJacob+cohen	1	False	поискJacob+cohen	0	0
праймер	1	False	праймер	23	23
поиск MaxMara	1	False	поиск MaxMara	0	0
галстук etro	5	False	галстук etro	60	60
Термобелье	4	False	Термобелье	0	0
с+люрексом	2	False	с+люрексом	20	20
искусственная+кожа	3	False	искусственная+кожа	55	55
Ботики+etro	1	False	Ботики+etro	0	0
galia+lahav	1	False	galia+lahav	0	0
пальто двубортное из шерсти	1	False	пальто двубортное из шерсти	60	60
челси	3	False	челси	13	13
платья+макси	1	False	платья+макси	13	13
Soulпоиск	1	False	Soulпоиск	0	0
капор	7	False	капор	3	3
Zimmerli халат	1	False	Zimmerli халат	0	0
Marina rinaldi сапоги	1	False	Marina rinaldi сапоги	2	2
Платье marellaиск	1	False	Платье marellaиск	0	0
Запонкипоиск	1	False	Запонкипоиск	0	0
Bal D'afrique	1	False	Bal D'afrique	7	7
maison francis	1	False	maison francis	60	60
firenze	1	False	firenze	1	1
rocco p	1	False	rocco p	1	1
Bosco fresh свитшот	5	False	Bosco fresh свитшот	35	35
поисклуноходы	2	False	поисклуноходы	0	0
CPcompanyиск	1	False	CPcompanyиск	0	0
Футбольная форма	3	False	Футбольная форма	0	0
oblox	1	False	oblox	2	2
поискkhrisjoy	1	False	поискkhrisjoy	0	0
поискплатье	1	False	поискплатье	0	0
Чокер	1	False	Чокер	7	7
поsportmax иск	1	False	поsportmax иск	0	0
Mi mi sol юбка	3	False	Mi mi sol юбка	57	57
свитерпоиск	1	False	свитерпоиск	0	0
Штаны	2	False	Штаны	2	2
Кроссовки женскиепоиск	1	False	Кроссовки женскиепоиск	0	0
givenchy	1	False	givenchy	60	60
Футболка с длинным рукавом	2	False	Футболка с длинным рукавом	3	3
поискHugo boss	2	False	поискHugo boss	0	0
Bruno	2	False	Bruno	60	60
поискскидки по картам	1	False	поискскидки по картам	0	0
бархатное	3	False	бархатное	43	43
кошелек hugo	1	False	кошелек hugo	2	2
поискпальто Max Mara	1	False	поискпальто Max Mara	0	0
Удлиненный трикотаж	1	False	Удлиненный трикотаж	0	0
Кровать	1	False	Кровать	4	4
Из верблюжей шерсти	1	False	Из верблюжей шерсти	3	3
Женская одежда на меху	1	False	Женская одежда на меху	0	0
пьетро одежда женская	1	False	пьетро одежда женская	0	0
поискDorothee Schumacher шапка	1	False	поискDorothee Schumacher шапка	0	0
max&co парка	2	False	max&co парка	5	5
uva rossa	2	False	uva rossa	6	6
Джинсы Макс марапоиск	1	False	Джинсы Макс марапоиск	0	0
подтяжкиоиск	1	False	подтяжкиоиск	0	0
burberry пуховик	4	False	burberry пуховик	4	4
Кеды ermano	1	False	Кеды ermano	5	5
jil sander полусапоги	1	False	jil sander полусапоги	1	1
Халат женский	1	False	Халат женский	0	0
плиссированная юбка max	1	False	плиссированная юбка max	44	44
Falke	2	False	Falke	60	60
Горнолыжные	1	False	Горнолыжные	8	8
Brandon	1	False	Brandon	0	0
Fuels	1	False	Fuels	0	0
joseph	8	False	joseph	54	54
поискруллвер женский	1	False	поискруллвер женский	0	0
