initial_query	fixed_by_prod_model
rfhnhbl; 511	картридж 511
bq5044	bq 5044
Хаер стриальная машина	хаер стиральная машина
Колонки свен	колонки sven
ifiksxybwf	шашлычница
Измельчитель benatone	измельчитель binatone
Водоногриватель газовый 80литров	водонагреватель газовый 80литров
Electrolux кофемашина?region=271	electrolux кофемашина? region=271
Флеки	флешки
Укулели	укулеле
Утюг тефаль	утюг tefal
Бутер	бустер
Электрическая печь веко	электрическая печь beko
Самсунг с8	samsung с 8
блендер погружной редмонд	блендер погружной redmond
смартфоны мейзу	смартфоны meizu
Болок питания	блок питания
Редми нот 6	redmi нот 6
Чехоо для j5	чехол для j5
самсунг ue 40 mu 6100u	samsung ue 40 mu 6100u
hobor 10	honor 10
Телевизор сони	телевизор sony
айфон 7 плюс	iphone 7 plus
Плита гэлпкси	плита galaxy
Мобильный телефон Самсунг Гелакси S 9	мобильный телефон samsung galaxy s 9
Массажер длялица	массажер для лица
а8	a8
Водонагревател.	водонагреватель.
fallut	fallout
утюг поларис	утюг polaris
7С ЧЕХОЛ	7 с чехол
встраеваемая посудомоечная машина леран	встраеваемая посудомоечная машина leran
Сони беспроводные наушники	sony беспроводные наушники
Стиральная машина полуавтамат	стиральная машина полуавтомат
Parther	partner
beko mvse 79512 xuawei	beko mvse 79512 huawei
RETONA	retina
nokia6 1	nokia 6 1
Планетарый миксер Китфорт КТ-1343	планетарый миксер kitfort кт-1343
Металоискатель	металлоискатель
Понель для мульти пекарь	панель для мульти пекарь
нэтбук	ноутбук
Сяоми редми 6 про	xiaomi redmi 6 про
kfvgs yfrfkbdfybz	лампы накаливания
Прототивние игровая консоль	прототивные игровая консоль
самый дещевый телевизор с интернетом диагональ 108	самый дешевый телевизор с интернетом диагональ 108
sonyplaystation	sony playstation
Защитное стекло на асус ZA550KL	защитное стекло на asus za550kl
Самсунг гелакси g7	samsung galaxy g7
шурупоёрт	шуруповёрт
Для рибака	для рыбака
honer	honor
Жосткий дисе	жесткий диск
ноутбук асер	ноутбук acer
Клавиотура + мыш	клавиатура + мыш
rfnhbl; ,hbnf	катридж брита
Микрафоны питличьки	микрофоны петлички
мышь bluetus	мышь bluetuth
Морозильные кпмеры	морозильные камеры
Холодильник лж и самсунг бежевого цвета	холодильник lg и samsung бежевого цвета
Xaomi mi band 3 ремешрк	xiaomi mi band 3 ремешок
Dongl	dongle
Косто	часто
Преобразователь с12 на 220	преобразователь с 12 на 220
Встраивпемая микроволновая печь	встраиваемая микроволновая печь
   смартфон ксиаоми а2 лайт 4/45	смартфон xiaomi а2 lite 4/45
Samsung Galaxy S8  64GB SM-G955FZ черный бриллиант	samsung galaxy s8 64gb sm-g955fz черный бриллиант
Браун	braun
хjнор 9 lite 64	honor 9 lite 64
Хонор 7а рro	honor 7а рro
Аppel	аpple
самсунг диагональ 19-22	samsung диагональ 19-22
gfhjutybhfnjh	парогенератор
Xiami 5a	xiaomi 5a
Самсунг а7  2017г	samsung a7 2017 г
Смарт телевизоры 32дюйма	смарт телевизоры 32 дюйма
Пароваяшвабра	паровая швабра
Прозрачные чехлы в магину	прозрачные чехлы в машину
bynthcrjk	интерскол
Элекстрическая плита	электрическая плита
Краншт	кроншт
даух канфорочная варочная панель до 4000	двух конфорочная варочная панель до 4000
cvfhnajys	смартфоны
                Кофеварка REDMOND RCM-1503	кофеварка redmond rcm-1503
Холодильник Бирюса М133 металлик	холодильник бирюса м 133 металлик
Супра	supra
