searchstring	count	is_fixed	fixed	productcount	predicted_productcount
хепофильтр для пылесоса thomas аква	1	True	хепофильтр для пылесоса thomas aqua	14	0
стиральная машина hotpoint ariston	2	True	стиральная машина hotpoint-ariston	14	14
Parther	1	True	partner	14	14
шурупоёрт	1	True	шуруповёрт	14	14
Клавиотура + мыш	1	True	клавиатура + мыш	14	15
Диабло 4	2	True	diablo 4	2	0
hycloud 2	1	True	cloud 2	3	182
Элекстрическая плита	1	True	электрическая плита	14	14
Самсунг гелакси g7	1	True	samsung galaxy g7	11	11
варочная панель ханса	4	True	варочная панель hansa	13	14
Морозильные кпмеры	1	True	морозильные камеры	14	13
утюг поларис	1	True	утюг polaris	14	11
Плита гэлпкси	1	True	плита galaxy	14	0
Болок питания	1	True	блок питания	14	13
sonyplaystation	2	True	sony playstation	11	11
мясорубка сатурн	1	True	мясорубка saturn	14	0
Косто	1	True	кость	14	14
Встраивпемая микроволновая печь	1	True	встраиваемая микроволновая печь	14	12
Хаер стриальная машина	1	True	хаер стиральная машина	14	14
Холодильник лж и самсунг бежевого цвета	1	True	холодильник lg и samsung бежевого цвета	14	14
fallut	1	True	fallout	2	2
смартфон xiaomi redmi 5 3 32gb	4	True	смартфон xiaomi redmi 5 3/32gb	7	10
7С ЧЕХОЛ	1	True	7 с чехол	13	13
Супра	1	True	supra	6	11
Чехоо для j5	1	True	чехол для j5	3	13
Dongl	1	True	dongle	4	0
принтер цветной не дорого	1	True	принтер цветной недорого	14	0
Прозрачные чехлы в магину	1	True	прозрачные чехлы в машину	14	0
Хонор 7а рro	1	True	honor 7а рro	13	11
rfhnhbl; 511	1	True	картридж 511	2	14
самый дещевый телевизор с интернетом диагональ 108	1	True	самый дешевый телевизор с интернетом диагональ 108	14	14
Понель для мульти пекарь	1	True	панель для multi пекарь	14	0
карта памити	2	True	карта памяти	13	15
Водоногриватель газовый 80литров	1	True	водонагреватель газовый 80 литров	14	0
honor 9 lite премиум	1	True	honor 9 lite premium	14	44
а8	1	True	a8	12	12
Самсунг а7  2017г	1	True	samsung a7 2017 г	2	5
самсунг ue 40 mu 6100u	1	True	samsung ue 40 mu 6100u	4	0
Жосткий дисе	1	True	жесткий диск	14	13
Мобильный телефон Самсунг Гелакси S 9	1	True	мобильный телефон samsung galaxy s 9	14	0
hobor 10	1	True	honor 10	14	11
Игры для PS 3	1	True	игры для ps3	12	12
коннектор	1	True	connector	13	0
смартфоны мейзу	1	True	смартфоны meizu	8	7
Смарт телевизоры 32дюйма	1	True	smart телевизоры 32 дюйма	14	0
nokia6 1	1	True	nokia 6 1	14	12
Бутер	1	True	бустер	6	7
Утюг тефаль	1	True	утюг tefal	12	13
Электрическая печь веко	1	True	электрическая печь beko	14	14
противень кукмара	1	True	противень kukmara	8	0
