initial_query	fixed_by_prod_model
BQ BQS-5058 Strike Power Easy	BQ BQS-5058 Strike Power Easy
Водонагреватель Electrolux EWH 50 Heatronic Slim DryHeat	Водонагреватель Electrolux EWH 50 Heatronic Slim DryHeat
scorpion	scorpion
Измельчители молния	Измельчители молния
Гладиль доска	Гладиль доска
470 зпил	470 зпил
микрофон для пк	микрофон для пк
BGL35MOV24	BGL35MOV24
Планшеты с большим экраном	Планшеты с большим экраном
Бумага lemond	Бумага lemond
чехол айфона ce	чехол айфона ce
карта памяти 32	карта памяти 32
Омск	Омск
Дистиляторы	Дистиляторы
microUSB	microUSB
Samsung s9	Samsung s9
кофемашина delonghi	кофемашина delonghi
кулер для воды	кулер для воды
Чехол книжка на айфон 6	Чехол книжка на айфон 6
Блок питания 12v	Блок питания 12v
Indesit BWE 81282 L B	Indesit BWE 81282 L B
матрас	матрас
NV70K3370BB/WT	NV70K3370BB/WT
Колонка портативная	Колонка портативная
умные часы и браслеты	умные часы и браслеты
телевизоры диагональ до 30 дюймов	телевизоры диагональ до 30 дюймов
-32ths17	-32ths17
весы кухонные orion вбк-сп04-5кг	весы кухонные orion вбк-сп04-5кг
стакан для кофе	стакан для кофе
Саундбар LG sj9	Саундбар LG sj9
27а	27а
Asus RT-N56U	Asus RT-N56U
радио приемники	радио приемники
Xiaomi Redmi 2s 32 gb	Xiaomi Redmi 2s 32 gb
Element блендер	Element блендер
противень кукмара	противень кукмара
насос погружной	насос погружной
часы с подсветкой	часы с подсветкой
аккумуляторы батарейки	аккумуляторы батарейки
Вытяжка bosch	Вытяжка bosch
Аккумулятор для Samsung J510 Galaxy J5 (2016) (EB-BJ510CBC)	Аккумулятор для Samsung J510 Galaxy J5 (2016) (EB-BJ510CBC)
операционная система windows 10	операционная система windows 10
Sony kd49	Sony kd49
Смартфон Samsung Galaxy A7 64Gb Pink	Смартфон Samsung Galaxy A7 64Gb Pink
вытяжка маунфельд товар линг	вытяжка маунфельд товар линг
Пылесос Philips FC 8293	Пылесос Philips FC 8293
ноутбук lenovo ideapad 320-15ikbn	ноутбук lenovo ideapad 320-15ikbn
Фен Rowenta CV7461F0	Фен Rowenta CV7461F0
стиральная машина lg fh2j6wds7	стиральная машина lg fh2j6wds7
Beko DIS 16010	Beko DIS 16010
смартфоны senseit	смартфоны senseit
настенные	настенные
hycloud 2	hycloud 2
датчик движения	датчик движения
Диск аудио	Диск аудио
флеш 16 гб	флеш 16 гб
павербанк	павербанк
Doffler32DHS69	Doffler32DHS69
процессор amd	процессор amd
hdmi	hdmi
Детская машинка для стрижки волос HC1091/15, Philips	Детская машинка для стрижки волос HC1091/15, Philips
micro	micro
49n	49n
Сковороды нева	Сковороды нева
фонокорректор	фонокорректор
Thomas 788565 Twin XT	Thomas 788565 Twin XT
Nokia 105	Nokia 105
decoder	decoder
беспроводная акустика	беспроводная акустика
hotpoint-ariston rsm 601 w	hotpoint-ariston rsm 601 w
Qcyber Dominator	Qcyber Dominator
3d led телевизор philips 55pfl6008s	3d led телевизор philips 55pfl6008s
